V,V1,V2
1,1,586
2,1,685
3,1,1657
4,1,1730
5,1,2344
6,2,136
7,2,881
8,2,998
9,2,1173
10,2,3294
11,2,3433
12,3,3018
13,4,3071
14,4,4023
15,5,705
16,5,822
17,5,1067
18,5,1427
19,5,1642
20,5,1660
21,5,1705
22,5,1799
23,5,2210
24,5,2297
25,5,3206
26,5,3718
27,5,3871
28,5,4069
29,6,652
30,6,686
31,6,1496
32,6,1592
33,6,1790
34,6,2101
35,6,3325
36,7,685
37,7,694
38,7,760
39,7,3639
40,8,1502
41,8,3962
42,9,633
43,9,1106
44,9,1217
45,9,2263
46,9,2563
47,9,2564
48,9,2589
49,9,2917
50,9,3564
51,9,3798
52,9,3896
53,10,775
54,10,3392
55,10,3681
56,10,3855
57,11,431
58,11,1569
59,11,2718
60,11,2903
61,11,3263
62,11,3822
63,11,3944
64,12,375
65,12,637
66,12,1273
67,12,1402
68,12,1439
69,12,3616
70,13,109
71,13,166
72,13,181
73,13,260
74,13,284
75,13,337
76,13,352
77,13,373
78,13,383
79,13,602
80,13,609
81,13,641
82,13,920
83,13,977
84,13,1057
85,13,1211
86,13,1288
87,13,1331
88,13,1382
89,13,1442
90,13,1447
91,13,1615
92,13,1892
93,13,2006
94,13,2091
95,13,2095
96,13,2232
97,13,2420
98,13,2425
99,13,2468
100,13,2477
101,13,2515
102,13,2532
103,13,2586
104,13,2717
105,13,2732
106,13,2803
107,13,2892
108,13,3153
109,13,3220
110,13,3395
111,13,3448
112,13,3460
113,13,3800
114,13,3804
115,13,3870
116,13,3939
117,13,3953
118,13,3968
119,14,207
120,14,1656
121,14,1787
122,14,1788
123,14,1798
124,14,2038
125,14,2046
126,14,2418
127,14,2491
128,14,2711
129,14,3565
130,14,3580
131,14,3673
132,14,3759
133,15,639
134,15,747
135,15,829
136,15,2744
137,16,668
138,16,4076
139,17,223
140,17,355
141,17,747
142,17,789
143,17,841
144,17,1217
145,17,1320
146,17,1536
147,17,2422
148,17,2920
149,17,3960
150,18,508
151,18,1866
152,19,261
153,19,667
154,19,982
155,19,1437
156,19,1607
157,19,3579
158,19,3825
159,19,3861
160,19,4108
161,20,334
162,20,1062
163,20,2887
164,20,3025
165,20,3233
166,20,3416
167,20,3783
168,21,872
169,21,1330
170,21,2070
171,21,3102
172,21,3747
173,21,3854
174,21,4085
175,22,198
176,22,273
177,22,1171
178,22,2719
179,22,3295
180,22,4096
181,23,432
182,23,737
183,23,3489
184,24,1192
185,25,86
186,25,1844
187,25,2084
188,25,3553
189,25,4046
190,26,1042
191,26,2501
192,26,2923
193,26,3728
194,26,4032
195,27,3953
196,28,906
197,28,1133
198,28,2858
199,28,3751
200,28,3793
201,28,3886
202,29,651
203,29,681
204,29,844
205,29,874
206,29,1105
207,29,1213
208,29,1410
209,29,1558
210,29,2006
211,29,2093
212,29,2586
213,29,2610
214,29,2769
215,29,2812
216,29,2874
217,29,2908
218,29,3004
219,29,3704
220,29,3800
221,29,3889
222,29,3939
223,30,1019
224,31,484
225,31,780
226,31,1569
227,31,2903
228,31,3216
229,31,3263
230,31,3452
231,31,3989
232,31,4015
233,32,2344
234,33,658
235,33,926
236,33,1056
237,33,1069
238,33,2548
239,33,3202
240,33,3354
241,34,397
242,34,3968
243,35,286
244,35,288
245,35,519
246,35,528
247,35,555
248,35,1023
249,35,1366
250,35,1389
251,35,1721
252,35,2055
253,35,2718
254,35,2963
255,35,3774
256,35,4010
257,36,328
258,36,1910
259,37,194
260,37,987
261,37,1172
262,37,2586
263,37,2621
264,37,2662
265,37,3838
266,38,3072
267,39,2683
268,39,3904
269,40,705
270,40,907
271,40,1067
272,40,1084
273,40,1267
274,40,2297
275,40,2661
276,40,2710
277,40,3228
278,40,3303
279,40,3777
280,40,3871
281,41,119
282,41,3061
283,42,3592
284,43,305
285,43,454
286,43,723
287,43,957
288,43,1790
289,44,1426
290,44,1657
291,44,2574
292,44,3556
293,45,664
294,45,710
295,45,838
296,45,1208
297,45,1572
298,45,1993
299,45,2072
300,45,2287
301,45,2394
302,45,3197
303,45,3999
304,45,4075
305,45,4079
306,45,4094
307,45,4105
308,46,1219
309,46,1251
310,46,1532
311,47,276
312,47,2859
313,47,3165
314,48,986
315,49,3127
316,50,2831
317,51,233
318,51,957
319,52,822
320,52,1156
321,52,1651
322,52,1887
323,52,2181
324,52,2543
325,52,3179
326,52,3185
327,52,3805
328,52,3899
329,53,2426
330,53,3805
331,54,264
332,54,560
333,54,1520
334,54,3192
335,54,3290
336,54,3552
337,55,874
338,56,438
339,56,509
340,56,1464
341,56,3497
342,56,3916
343,57,274
344,57,590
345,57,609
346,57,2635
347,58,4083
348,59,1019
349,60,358
350,60,418
351,60,425
352,60,876
353,60,1381
354,60,1834
355,60,1888
356,60,1898
357,60,2313
358,60,3334
359,60,3363
360,60,3378
361,60,3475
362,60,3811
363,60,3989
364,61,435
365,61,1166
366,61,1793
367,61,3048
368,61,3205
369,61,3738
370,61,3949
371,62,78
372,62,1970
373,62,1972
374,62,3064
375,63,377
376,63,672
377,63,972
378,63,2730
379,63,3245
380,64,109
381,64,430
382,64,811
383,64,824
384,64,911
385,64,2379
386,64,2380
387,64,3287
388,65,235
389,65,265
390,65,484
391,65,591
392,65,704
393,65,741
394,65,788
395,65,1589
396,65,1721
397,65,1917
398,65,2344
399,65,2353
400,65,2414
401,65,2464
402,65,2564
403,65,2718
404,65,2839
405,65,3124
406,65,3289
407,65,3292
408,65,3361
409,65,3605
410,65,4010
411,66,3504
412,67,1254
413,67,1654
414,67,2502
415,68,324
416,68,370
417,68,2641
418,68,2649
419,68,3030
420,68,4000
421,69,1057
422,69,1846
423,69,2251
424,69,2327
425,69,2559
426,69,3941
427,70,194
428,70,488
429,70,583
430,70,725
431,70,1172
432,70,1631
433,70,1789
434,70,1994
435,70,2206
436,70,2912
437,70,3203
438,70,3590
439,70,3813
440,70,3838
441,71,419
442,71,3598
443,72,132
444,72,210
445,72,382
446,72,384
447,72,410
448,72,602
449,72,831
450,72,978
451,72,983
452,72,1087
453,72,1147
454,72,1194
455,72,1196
456,72,1284
457,72,1484
458,72,1615
459,72,1756
460,72,1763
461,72,1769
462,72,1892
463,72,1975
464,72,1986
465,72,2037
466,72,2468
467,72,2515
468,72,2717
469,72,2803
470,72,2940
471,72,3024
472,72,3065
473,72,3279
474,72,3448
475,72,3644
476,72,3737
477,72,3771
478,72,3830
479,72,3879
480,73,222
481,73,857
482,73,1254
483,73,1654
484,73,2502
485,74,120
486,74,3178
487,74,3717
488,74,3765
489,74,3914
490,75,813
491,75,1665
492,75,2465
493,75,3499
494,76,266
495,76,279
496,76,395
497,76,812
498,76,1017
499,76,1076
500,76,1316
501,76,1332
502,76,1595
503,76,2169
504,76,2668
505,77,1914
506,77,3412
507,78,145
508,78,247
509,78,393
510,78,452
511,78,587
512,78,687
513,78,764
514,78,873
515,78,1136
516,78,1204
517,78,1319
518,78,1497
519,78,1563
520,78,1597
521,78,1902
522,78,1913
523,78,1970
524,78,1972
525,78,2130
526,78,2153
527,78,2381
528,78,2768
529,78,2777
530,78,3064
531,78,3172
532,78,3226
533,78,3690
534,78,3691
535,78,3870
536,79,178
537,79,1806
538,79,2017
539,79,2088
540,79,2284
541,79,3435
542,80,698
543,80,1389
544,80,1545
545,80,1567
546,80,1589
547,80,3671
548,81,230
549,81,323
550,81,339
551,81,419
552,81,472
553,81,503
554,81,541
555,81,564
556,81,582
557,81,597
558,81,611
559,81,635
560,81,638
561,81,782
562,81,795
563,81,822
564,81,843
565,81,848
566,81,882
567,81,905
568,81,975
569,81,1059
570,81,1142
571,81,1162
572,81,1339
573,81,1356
574,81,1421
575,81,1505
576,81,1619
577,81,1656
578,81,1731
579,81,1733
580,81,1740
581,81,1807
582,81,1882
583,81,2012
584,81,2093
585,81,2143
586,81,2194
587,81,2374
588,81,2543
589,81,2573
590,81,2581
591,81,2603
592,81,2663
593,81,2741
594,81,2776
595,81,2862
596,81,2879
597,81,2903
598,81,3010
599,81,3078
600,81,3080
601,81,3138
602,81,3141
603,81,3171
604,81,3216
605,81,3270
606,81,3273
607,81,3431
608,81,3433
609,81,3466
610,81,3470
611,81,3479
612,81,3592
613,81,3704
614,81,3785
615,81,3812
616,81,3839
617,81,3907
618,81,3914
619,82,1446
620,83,590
621,83,609
622,83,2635
623,84,1027
624,85,1058
625,86,728
626,86,777
627,86,1327
628,86,1836
629,86,1844
630,86,2003
631,86,2034
632,86,2073
633,86,2084
634,86,3123
635,86,3199
636,86,3219
637,86,3229
638,86,3553
639,86,3566
640,86,4008
641,86,4046
642,87,3373
643,88,778
644,88,991
645,88,1714
646,88,1896
647,88,2215
648,88,2405
649,88,2757
650,88,3373
651,89,259
652,89,505
653,89,515
654,89,914
655,89,1479
656,89,2109
657,89,2795
658,89,3371
659,89,4040
660,90,685
661,91,1654
662,92,986
663,92,1081
664,92,1161
665,92,3680
666,93,323
667,93,795
668,93,1375
669,93,1472
670,93,2113
671,93,3570
672,94,96
673,94,196
674,94,197
675,94,306
676,94,661
677,94,762
678,94,1859
679,94,2883
680,94,3241
681,94,3302
682,94,3536
683,94,4091
684,95,281
685,95,1665
686,95,2564
687,95,3054
688,96,196
689,96,197
690,96,306
691,96,661
692,96,762
693,96,1859
694,96,2883
695,96,3241
696,96,3302
697,96,3536
698,96,4091
699,97,178
700,97,746
701,97,1245
702,97,1806
703,97,2017
704,97,2088
705,97,2284
706,97,3256
707,98,3433
708,99,323
709,99,390
710,99,795
711,99,1292
712,99,4089
713,100,2759
714,101,2543
715,102,487
716,102,808
717,102,1134
718,102,1613
719,102,1822
720,102,2512
721,102,2517
722,102,2628
723,102,2727
724,102,2871
725,102,2899
726,102,2901
727,102,3035
728,102,3144
729,102,3149
730,102,3271
731,102,3744
732,103,104
733,103,825
734,103,894
735,103,976
736,103,979
737,103,2809
738,103,3480
739,104,825
740,104,894
741,104,976
742,104,979
743,104,2809
744,104,3285
745,104,3480
746,105,1198
747,105,1845
748,106,472
749,106,582
750,106,960
751,106,1984
752,106,2543
753,106,2913
754,107,635
755,108,1134
756,108,2628
757,108,3035
758,108,3149
759,108,3744
760,109,242
761,109,247
762,109,273
763,109,284
764,109,373
765,109,383
766,109,479
767,109,511
768,109,602
769,109,609
770,109,753
771,109,764
772,109,811
773,109,824
774,109,873
775,109,920
776,109,1057
777,109,1136
778,109,1197
779,109,1331
780,109,1382
781,109,1491
782,109,1542
783,109,1588
784,109,1613
785,109,1627
786,109,1628
787,109,1677
788,109,1712
789,109,1766
790,109,1892
791,109,2091
792,109,2134
